SessionGUID;string;GUID идентификатор сессии пользователя.
KodeSchool;string;GUID идентификатор школы, при указании которого будут выводиться данные только указанной школы. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения школ.
Id_Language;int;Идентификатор языка для названий школ.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
SchoolName;string;Маска-фильтр по полному названии школы. Параметр не обязательный.Для игнорирования параметра необходимо указать пустую строку
Hundred;int;Номер сотни выгружаемых данных. Для увеличения скорости работы с данными и уменьшения нагрузки данные выдаются порциями по 100 записей. При указании параметра Hundred равным 1 мы получим первую сотню данных, равных 2 – вторую и так далее. Если в указанной сотне получено меньше чем 100 записей – это порция данных является последней. Параметр обязательный. Диапазон от 1 до N.
KOATUUCode;string;КОАТУУ код населенного пункта при указании которого будут выводиться все школы указанного населенного пункта. Параметр не обязательный. Для игнорированияпараметра необходимо указать пустую строку.
KOATUUFullNameMask;string;Маска по названию населенного пункта. Параметр не обязательный. Для игнорирования параметра необходимо указать пустую строку.
Id_EducationClass;int;Идентификатор класса учебного заведения при указании которого будут выданы школы только указанного класса. Параметр не обязательный. Для игнорирования параметра необходимо указать 0.
MinDate;string;Минимальная дата при указании которой выбираются данные у которых дата изменения (добавления) больше или равна указанной даты. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС. Параметр не обязательный, для игнорирования параметра необходимо указать пустую строку.
