SessionGUID;String;GUID идентификатор сессии пользователя.
UniversityKode;String;GUID идентификатор ВУЗа, при указании которого будут выводиться данные только указанного ВУЗа. Параметр обязателен.
UniversityFacultetKode;String;GUID идентификатор факультета ВУЗа, при указании которого будут выводиться данные только указанного факультета. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения факультетов ВУЗ.
Id_Language;int;Идентификатор языка для названий ВУЗов.
ActualDate;String;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
FacultetGetMode;int;Параметр обязательный только если указан параметр UniversityFacultetKode. Если UniversityFacultetKode не указан – параметр игнорируеться. Доступные значения. 1 – Возвращаются данные только по указанному факультету (структурному подразделению) для указанного UniversityFacultetKode. 2 – Возвращаются данные по указанному факультету (структурному подразделению) для указанного UniversityFacultetKode и все его потомки. 3 – Возвращаются данные по указанному факультету (структурному подразделению) для указанного UniversityFacultetKode и все его предки
Id_UniversityFacultetTypes;String;Список идентификаторов типов структурных подразделений УЗ по которым будет производиться фильтрация результирующего набора данных. Параметр не обязательный, для игнорирования параметра необходимо указать пустую строку. Формат: Id_UniversityFacultetTypes1, Id_UniversityFacultetTypes2,…Id_UniversityFacultetTypesN Пример: 20 – выбираем только факультеты 20,30 – выбираем факультеты и кафедры 
IsAvailableForReceiptOfRequest;int;Флаг, с помощью которого можно фильтровать результирующий набор по доступности структурного подразделения во вступительной компании. Параметр необязательный, для игнорирования параметра укажите значение -1 (минус 1). Допустимы значения. -1 – выдавать все структурные подразделения. 0 – выдавать только те структурные подразделения, которые не участвуют во вступительной компании. 1 – выдавать только те структурные подразделения, которые участвуют во вступительной компании.
IsAvailableForBindStudentPersons;int;Флаг, с помощью которого можно фильтровать результирующий набор по свойству, определяющему возможность «привязки» студента к структурному подразделению. Параметр необязательный, для игнорирования параметра укажите значение -1 (минус 1). Допустимы значения. -1 – выдавать все структурные подразделения. 0 – выдавать только те структурные подразделения, с которыми нельзя « привязать» студента. 1 – выдавать только те структурные подразделения, с которыми можно «привязать» студента.
Id_UniversityFacultet;int;Числовой идентификатор факультета ВУЗа, при указании которого будут выводиться данные только указанного факультета. Параметр может принимать значение 0. При указании 0 параметр будет игнорироваться в фильтре получения факультетов ВУЗ.
IsAvailableForBindStaffPersons;int;Флаг, с помощью которого можно фильтровать результирующий набор по свойству, определяющему возможность «привязки» сотрудника к структурному подразделению. Параметр необязательный, для игнорирования параметра укажите значение -1 (минус 1). Допустимы значения. -1 – выдавать все структурные подразделения. 0 – выдавать только те структурные подразделения, с которыми нельзя «привязать» сотрудника. 1 – выдавать только те структурные подразделения, с которыми можно «привязать» сотрудника.
