SessionGUID;string;GUID идентификатор сессиипользователя.
Id_Language;int;Идентификатор языкана которомбудет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
Id_Person;int;Идентификатор персоны. 
Id_PersonName;int;Идентификатор имен персоны.
Resident;int;Флаг указывающий что персона резидент. 1-резидент 2 – не резидент.
Birthday;string;Дата рождения персоны. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_PersonSex;int;Идентификатор пола персоны.
FirstName;string;Имя персоны.
MiddleName;string;Отчество персоны.
LastName;string;Фамилия персоны.
Father;string;Отец. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
Mother;string;Мать. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
FatherPhones;string;Телефоныотца. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
MotherPhones;string;Телефоны матери. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
Birthplace;string;Место рождения персоны.
LanguagesAreStudied;string;Какие иностранные языки изучались персоной.
Id_Country;int;Код страны, гражданином которой является персона (добавлено в версии 2).
FirstNameEn;string;Имя персоны на английском (добавлено в версии 2).
MiddleNameEn;string;Отчество персоны на английском (добавлено в версии 2).
LastNameEn;string;Фамилия персоны на английском (добавлено в версии 2).
