SessionGUID;string;GUID идентификатор сессиипользователя.
Id_Language;int;Идентификатор языкана которомбудет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
Resident;int;Флаг указывающий что персона резидент. 1-резидент 0– не резидент.
Birthday;string;Дата рождения персоны. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_PersonSex;int;Идентификатор пола персоны.
FirstName;string;Имя персоны.
MiddleName;string;Отчество персоны.
LastName;string;Фамилия персоны.
KOATUUCode;string;КОАТУУ код адреса персоны.
Id_StreetType;int;Идентификатор типа улицы адреса персоны.
Adress;string;Улица адреса персоны.
HomeNumber;string;Номер дома адреса персоны.
EntrantDocumentSeries;string;Сериядокумента на основе которого производиться поступление.
EntrantDocumentNumber;string;Номер документа на основе которого производиться поступление.
EntrantDocumentDate;string;Дата выдачи документа на основе которого производиться поступление. Формат ДД.ММ.ГГГГ 00:00:00.
EntrantDocumentValue;string;Средний балл документа на основе которого производиться поступление с точностью до двух знаков после запятой.
PasportSeries;string;Серия паспорта. Параметр не обязательный.
PasportNumber;string;Номер паспорта. Параметр не обязательный.
PasportIssued;string;Кем выдан паспорт. Параметр не обязательный.
PasportDate;string;Дата выдачи паспорта. Формат ДД.ММ.ГГГГ 00:00:00. Параметр не обязательный.
BirthCertificateSeries;string;Серия свидетельства о рождении .Параметр не обязательный.
BirthCertificateNumber;string;Номер свидетельства о рождении . Параметр не обязательный.
BirthCertificateDate;string;Дата выдачи свидетельства о рождении. Формат ДД.ММ.ГГГГ 00:00:00. Параметр не обязательный. Поле обязательно для тех, у кого нет паспорта.
Kode_School;string;GUID идентификатор «школы» которая выдала аттестат. Получить школу можно с помощью поиска используя метод SchoolGet. Если школа не найдена, ее можно добавить, используя метод SchoolAdd. Оба метода относятся к web сервису EDBOGuide.Параметр не обязательный, для игнорирования параметра укажите пустую строку.
Phone;string;Номер домашнего телефона персоны. Поле не обязательное.
Mobile;string;Номер мобильного телефона персоны. Поле не обязательное. Email Тип: string  Адрес электронной почты персоны. Поле не обязательное.
Skype;string;Номер персоны в сети Skype. Поле не обязательное.
ICQ;string;Номер персоны в сети ICQ. Поле не обязательное.
IsForeigner;int;Флаг указывающий что аттестат абитуриента получен за пределами Украины. Проверка такого аттестата не происходит.
IsNotCheckAttestat;int;Флаг указывающий что аттестат абитуриента содержит некорректные данные (у абитуриента есть соответствующе документы, подтверждающие наличие ошибки в аттестате ). Проверка такого аттестата не происходит.
Id_EntrantDocumnetType;int;Тип документа (Id_PersonDocumentType) на основе которого будет поступать абитуриент. Параметр обязательный при указанных параметрах EntrantDocumentSeries и EntrantDocumentNumber
EntrantDocumnetUniversityKode;string;GUID идентификатор учебного заведения (только 1-4 уровня аккредитации) который выдал документ Id_EntrantDocumnetType. Параметр обязательный при указании Id_EntrantDocumnetType.
Father;string;Отец. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
Mother;string;Мать. Параметр не обязательный. Для игнорирования параметра укажите пустую строку. FatherPhones Тип: string  Телефоныотца. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
MotherPhones;string;Телефоны матери. Параметр не обязательный. Для игнорирования параметра укажите пустую строку.
PostIndex;string;Почтовый индекс адреса персоны.
Birthplace;string;Место рождения персоны.
LanguagesAreStudied;string;Какие иностранные языки изучались персоной.
EntrantDocumentIssued;string;Кем выдан документ на основе которого производиться поступление.
Id_EntrantDocumentsAwardType;int;Идентификатор награды для документа на основе которого возможно поступление. Перечень идентфикаторов можно получить с помощью метода PersonDocumentsAwardsTypesGet
AllowProcessedPersonalData;int;Флаг указывающий на то что персона дала согласие на обработку персональных данных. Допустимые значения 0 или 1
PosvidkaSeries;string;Серия вида на жительство. Параметр не обязательный.
PosvidkaNumber;string;Номер вида на жительство. Параметр не обязательный.
PosvidkaIssued;string;Кем выдан вид на жительство. Параметр не обязательный.
PosvidkaDate;string;Дата выдачи вида на жительство. Формат ДД.ММ.ГГГГ 00:00:00. Параметр не обязательный.
Id_Country;int;Код страны. 804 - Украина
