SessionGUID;string;GUID идентификатор сессии пользователя.
Resident;int;Флаг указывающий что персона резидент. 1-резидент 0– не резидент.
Birthday;string;Дата рождения персоны. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_PersonSex;int;Идентификатор пола персоны.
FirstName;string;Имя персоны.
MiddleName;string;Отчество персоны.
LastName;string;Фамилия персоны
PasportSeries;string;Серия документа удостоверяющего персону.
PasportNumber;string;Номер документа удостоверяющего персону.
PasportIssued;string;Кем выдан документ удостоверяющий персону.
PasportDate;string;Дата выдачи документа удостоверяющего персону. Формат ДД.ММ.ГГГГ 00:00:00.
Id_ForeignCountry;int;Код страны, гражданином которой является.
Id_PersonDocumnetType_Pasport;int;Тип документа (Id_PersonDocumnetType) удостоверяющий личность персоны (указанный в полях поля PasportSeries, PasportNumber, PasportIssued, PasportDate) Допустимые значения. 1 Свідоцтво про народження 3 Паспорт 17 Посвідка на постійне проживання в Україні 19 Закордонний паспорт 20 Тимчасове посвідчення 22 Військовий квиток 23 Довідка
FirstNameEn;string;Имя персоны на английском языке. Параметр не обязательный.
MiddleNameEn;string;Отчество персоны на английском языке. Параметр не обязательный.
LastNameEn;string;Фамилия персоны на английском языке. Параметр не обязательный.
