;DPersonsFind;
Id_Person;int;Идентификатор персоны.
Resident;int;Признак резидентности. 1- резидент, 0 –не резидент.
PersonCodeU;string;GUID код персоны.
Birthday;dateTime;Дата рождения
Id_PersonName;int;Идентификатор имен персоны
LastName;string;Фамилия персоны
FirstName;string;Имя персоны
MiddleName;string;Отчество персоны
PersonNameDateBegin;dateTime;Дата начала действия записи
PersonNameDateEnd;dateTime;Дата окончания действия записи
FIO;string;ФИО персоны
PasportSeries;string;Серия паспорта
PasportNumber;string;Номер паспорта
PasportDate;string;Дата выдачи паспорта
PasportIssued;string;Кем выдан паспорт
AtestatSeries;string;Серия аттестата
AtestatNumber;string;Номер аттестата
AtestatDate;string;Дата выдачи аттестата
Id_PersonSex;int;Идентификатор пола персоны
PersonSexName;string;Название пола персоны
Id_Language;int;Идентификатор языка названий
Id_PersonDocumentPasp;int;Идентификатор Id_PersonDocument документа из  набора PersonDocuments для паспорта
Id_PersonDocumentAtestat;int;Идентификатор Id_PersonDocument документа из  набора PersonDocuments для аттестата
Id_PersonTypeDict;int;Идентификатор типа персоны
PersonTypeName;string;Название типаперсоны
Father;string;Отец
Mother;string;Мать
FatherPhones;string;Телефоны отца
MotherPhones;string;Телефоны матери
Birthplace;string;Место рождения
LanguagesAreStudied;string;Какие иностранные языки узачались
